iucn_sid,species,allXcoastal,allXfull,biomass_removalXfull,bycatch_pelagicXfull,climateXfull,direct_humanXfull,fishing_benthic_destXfull,non-climateXfull,ocean_acidificationXfull,biomass_removalXcoastal,bycatch_pelagicXcoastal,climateXcoastal,direct_humanXcoastal,fishing_benthic_destXcoastal,non-climateXcoastal,ocean_acidificationXcoastal,lightXcoastal,lightXfull,nutrientXcoastal,nutrientXfull,sst_extremesXcoastal,sst_extremesXfull,sst_riseXcoastal,sst_riseXfull,uv_radiationXcoastal,uv_radiationXfull,bycatch_benthicXcoastal,bycatch_benthicXfull,shipping_largeXcoastal,shipping_largeXfull,sea_level_riseXcoastal,sea_level_riseXfull
NA,abyssobrotula galatheae,NA,0.02526059847391998,4.175840862500949e-9,1.86732404525093e-4,0.025073861703743074,0,0,1.867365803659555e-4,0.025073861703743074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,acanthephyra curtirostris,0.31077143939393936,0.15967763107631333,3.991914464352466e-5,0.0024756176294376993,0.15710723166416607,1.661513567211335e-5,3.8247502393912545e-5,0.00257039941214725,0.15710723166416607,0.0010906902356902358,0.14280739057239059,0.16347233164983163,0.002731245791245791,6.697811447811447e-4,0.14729910774410773,0.16347233164983163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,acanthephyra eximia,0.4924910478397616,0.5333314657283583,1.7321367150954816e-4,0.005633171812228276,0.5267120408205382,3.303912828132739e-4,4.719552446205492e-4,0.006619424907820153,0.15987871188982447,9.468426860894995e-4,0.030079610439772662,0.4539612001324284,0.005300261546101639,0.0020392672294873918,0.038529847707333226,0.16532494509739004,0,0,1.6386580588202836e-4,1.069289664850586e-5,0.2014517596424433,0.26688233094628805,0,2.7247124539100764e-5,0.08718449539259505,0.09992375085988664,NA,NA,NA,NA,NA,NA
NA,acanthephyra quadrispinosa,NA,0.56871375,0,0.025180833333333333,0.5435328472222222,0,0,0.025180833333333333,0.15257277777777775,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0.2761838194444444,NA,0,NA,0.11477625,NA,NA,NA,NA,NA,NA
NA,acanthodoris pilosa,0.4945563741574463,0.4945563741574463,5.038015297687179e-4,NA,0.42844077832888205,0.025620999073417996,3.5320161334278084e-4,0.06611559564688141,0.18328789066332368,5.038015297687179e-4,NA,0.42844077832888205,0.025620999073417996,3.5320161334278084e-4,0.06611559564688141,0.18328789066332368,0.0032706507875947025,0.0032706507875947025,0.01805968823240857,0.01805968823240857,0.15161107828709508,0.15161107828709508,0,0,0.09354180937846333,0.09354180937846333,0.01830725441034865,0.01830725441034865,NA,NA,NA,NA
NA,acantholithodes hispidus,0.45133929148602375,0.45133929148602375,0.001403704178545522,NA,0.37588008384082056,0.025497013950977584,3.075190202263871e-4,0.0754592076452032,0.1672906174193222,0.001403704178545522,NA,0.37588008384082056,0.025497013950977584,3.075190202263871e-4,0.0754592076452032,0.1672906174193222,0.003712536142647481,0.003712536142647481,0.0134132419575229,0.0134132419575229,0.12646770930683715,0.12646770930683715,0.0042350739722330005,0.0042350739722330005,0.07788668314242818,0.07788668314242818,0.03112519256397713,0.03112519256397713,NA,NA,NA,NA
NA,acanthopsetta nadeshnyi,0.23341001930639974,0.23341001930639974,3.8110976045763314e-4,NA,0.19768093814801574,0.006768451912763675,1.6060135859849838e-4,0.03572908115838398,0.026129712549159814,3.8110976045763314e-4,NA,0.19768093814801574,0.006768451912763675,1.6060135859849838e-4,0.03572908115838398,0.026129712549159814,0,0,4.3116195924204506e-4,4.3116195924204506e-4,0.07332739077583125,0.07332739077583125,0,0,0.09822383482302467,0.09822383482302467,0.02231188630675724,0.02231188630675724,0.005675869860564891,0.005675869860564891,NA,NA
NA,acarnus erithacus,0.3024039678725019,0.3024039678725019,0,NA,0.27361498077409563,0.019246627877561345,3.4929850746268657e-4,0.028788987098406275,0.06211475461674677,0,NA,0.27361498077409563,0.019246627877561345,3.4929850746268657e-4,0.028788987098406275,0.06211475461674677,1.4285555274475082e-4,1.4285555274475082e-4,7.257391854287883e-4,7.257391854287883e-4,0.11813851581077663,0.11813851581077663,0,0,0.09336171034657223,0.09336171034657223,0.008324465975208703,0.008324465975208703,NA,NA,NA,NA
NA,achelia alaskensis,0.4174105615784909,0.4174105615784909,0,NA,0.292623637167256,0.08584724781506438,0.0010914212088865168,0.1247869244112349,0.037004469777837085,0,NA,0.292623637167256,0.08584724781506438,0.0010914212088865168,0.1247869244112349,0.037004469777837085,0.0031765996730936017,0.0031765996730936017,0.011212546534125026,0.011212546534125026,0.11767514760824604,0.11767514760824604,0,0,0.13794401978117288,0.13794401978117288,0.02345910918006538,0.02345910918006538,NA,NA,NA,NA
NA,achelia assimilis,0.3805008898568762,0.3805008898568762,0,0.022030220519601743,0.3008131697261979,0.046298564094586186,8.16968730553827e-4,0.07968772013067829,0.03693478336963286,0,0.022030220519601743,0.3008131697261979,0.046298564094586186,8.16968730553827e-4,0.07968772013067829,0.03693478336963286,0,0,4.440156347230865e-4,4.440156347230865e-4,0.11034367649346609,0.11034367649346609,0,0,0.15353470986309894,0.15353470986309894,0.010097951540136901,0.010097951540136901,NA,NA,NA,NA
