phylum,class,n_cls
annelida,polychaeta,133
arthropoda,malacostraca,140
arthropoda,pycnogonida,26
chordata,teleostei,592
chordata,aves,65
chordata,mammalia,38
chordata,elasmobranchii,28
chordata,myxini,4
chordata,chondrostei,2
chordata,reptilia,1
cnidaria,anthozoa,44
echinodermata,asteroidea,57
echinodermata,ophiuroidea,43
echinodermata,holothuroidea,13
echinodermata,echinoidea,10
echinodermata,crinoidea,3
mollusca,gastropoda,76
mollusca,bivalvia,19
mollusca,cephalopoda,15
porifera,demospongiae,17
