am_sid,comname,kingdom,phylum,class,order,family,iucn_sid,am_sciname,sciname
fis-139729,bigscale deepsea smelt,animalia,chordata,actinopterygii,osmeriformes,bathylagidae,190485,melanolagus bericoides,melanolagus bericoides
fis-22747,basking shark,animalia,chordata,elasmobranchii,lamniformes,cetorhinidae,4292,cetorhinus maximus,cetorhinus maximus
fis-22738,bullet tuna,animalia,chordata,actinopterygii,perciformes,scombridae,NA,auxis rochei,auxis rochei
fis-29263,long snouted lancetfish,animalia,chordata,actinopterygii,aulopiformes,alepisauridae,154820,alepisaurus ferox,alepisaurus ferox
fis-29507,chub mackerel,animalia,chordata,actinopterygii,perciformes,scombridae,170306,scomber japonicus,scomber japonicus
fis-22832,albacore,animalia,chordata,actinopterygii,perciformes,scombridae,21856,thunnus alalunga,thunnus alalunga
fis-22833,yellowfin tuna,animalia,chordata,actinopterygii,perciformes,scombridae,21857,thunnus albacares,thunnus albacares
fis-22836,bigeye tuna,animalia,chordata,actinopterygii,perciformes,scombridae,21859,thunnus obesus,thunnus obesus
fis-29576,swordfish,animalia,chordata,actinopterygii,perciformes,xiphiidae,23149,xiphias gladius,xiphias gladius
fis-22919,rainbow trout,animalia,chordata,actinopterygii,salmoniformes,salmonidae,NA,oncorhynchus mykiss,oncorhynchus mykiss
fis-22915,pink salmon,animalia,chordata,actinopterygii,salmoniformes,salmonidae,NA,oncorhynchus gorbuscha,oncorhynchus gorbuscha
fis-22916,chum salmon,animalia,chordata,actinopterygii,salmoniformes,salmonidae,NA,oncorhynchus keta,oncorhynchus keta
fis-22920,sockeye salmon,animalia,chordata,actinopterygii,salmoniformes,salmonidae,201500,oncorhynchus nerka,oncorhynchus nerka
fis-22921,chinook salmon,animalia,chordata,actinopterygii,salmoniformes,salmonidae,NA,oncorhynchus tshawytscha,oncorhynchus tshawytscha
fis-22917,coho salmon,animalia,chordata,actinopterygii,salmoniformes,salmonidae,NA,oncorhynchus kisutch,oncorhynchus kisutch
fis-22949,arctic char,animalia,chordata,actinopterygii,salmoniformes,salmonidae,NA,salvelinus alpinus,salvelinus alpinus
fis-22900,capelin,animalia,chordata,actinopterygii,osmeriformes,osmeridae,NA,mallotus villosus,mallotus villosus
fis-22922,rainbow smelt,animalia,chordata,actinopterygii,osmeriformes,osmeridae,NA,osmerus mordax,osmerus mordax
fis-22880,surf smelt,animalia,chordata,actinopterygii,osmeriformes,osmeridae,NA,hypomesus pretiosus,hypomesus pretiosus
fis-22963,eulachon,animalia,chordata,actinopterygii,osmeriformes,osmeridae,202415,thaleichthys pacificus,thaleichthys pacificus
fis-22864,pacific saury,animalia,chordata,actinopterygii,beloniformes,scomberesocidae,NA,cololabis saira,cololabis saira
fis-29393,pacific cod,animalia,chordata,actinopterygii,gadiformes,gadidae,NA,gadus macrocephalus,gadus macrocephalus
fis-22874,saffron cod,animalia,chordata,actinopterygii,gadiformes,gadidae,NA,eleginus gracilis,eleginus gracilis
fis-1918,alaska pollock,animalia,chordata,actinopterygii,gadiformes,gadidae,NA,gadus chalcogrammus,gadus chalcogrammus
fis-22908,north pacific hake,animalia,chordata,actinopterygii,gadiformes,merlucciidae,183411,merluccius productus,merluccius productus
fis-22897,longspine snipefish,animalia,chordata,actinopterygii,syngnathiformes,centriscidae,155030,macroramphosus scolopax,macroramphosus scolopax
fis-22970,pacific jack mackerel,animalia,chordata,actinopterygii,perciformes,carangidae,183729,trachurus symmetricus,trachurus symmetricus
fis-23014,japanese sandfish,animalia,chordata,actinopterygii,perciformes,trichodontidae,NA,arctoscopus japonicus,arctoscopus japonicus
fis-29268,pacific sandlance,animalia,chordata,actinopterygii,perciformes,ammodytidae,NA,ammodytes personatus,ammodytes personatus
fis-23215,pacific pompano,animalia,chordata,actinopterygii,perciformes,stromateidae,183337,peprilus simillimus,peprilus simillimus
fis-23264,widow rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes entomelas,sebastes entomelas
fis-23265,yellowtail rockfish,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes flavidus,sebastes flavidus
fis-23262,pacific ocean perch,animalia,chordata,actinopterygii,scorpaeniformes,sebastidae,NA,sebastes alutus,sebastes alutus
fis-29457,lingcod,animalia,chordata,actinopterygii,scorpaeniformes,hexagrammidae,NA,ophiodon elongatus,ophiodon elongatus
fis-22996,sablefish,animalia,chordata,actinopterygii,scorpaeniformes,anoplopomatidae,NA,anoplopoma fimbria,anoplopoma fimbria
fis-29418,pacific halibut,animalia,chordata,actinopterygii,pleuronectiformes,pleuronectidae,NA,hippoglossus stenolepis,hippoglossus stenolepis
