iucn_sid,sciname,worms_name
2474,balaenoptera acutorostrata,balaenoptera acutorostrata
2475,balaenoptera borealis,balaenoptera borealis
2477,balaenoptera musculus,balaenoptera musculus
2478,balaenoptera physalus,balaenoptera physalus
2636,bathyraja abyssicola,bathyraja abyssicola
2763,berardius bairdii,berardius bairdii
3590,callorhinus ursinus,callorhinus ursinus
3855,carcharodon carcharias,carcharodon carcharias
3897,caretta caretta,caretta caretta
4292,cetorhinus maximus,cetorhinus maximus
7750,enhydra lutris,enhydra lutris
8005,eretmochelys imbricata,eretmochelys imbricata
8097,eschrichtius robustus,eschrichtius robustus
8239,eumetopias jubatus,eumetopias jubatus
9249,globicephala macrorhynchus,globicephala macrorhynchus
9461,grampus griseus,grampus griseus
10030,hexanchus griseus,hexanchus griseus
11047,kogia breviceps,kogia breviceps
11145,lagenorhynchus obliquidens,lagenorhynchus obliquidens
11534,lepidochelys olivacea,lepidochelys olivacea
12125,lissodelphis borealis,lissodelphis borealis
13006,megaptera novaeangliae,megaptera novaeangliae
13252,mesoplodon stejnegeri,mesoplodon stejnegeri
13581,mirounga angustirostris,mirounga angustirostris
15421,orcinus orca,orcinus orca
17027,phocoena phocoena,phocoena phocoena
17032,phocoenoides dalli,phocoenoides dalli
18596,pseudorca crassidens,pseudorca crassidens
20731,stenella coeruleoalba,stenella coeruleoalba
21856,thunnus alalunga,thunnus alalunga
21859,thunnus obesus,thunnus obesus
23211,ziphius cavirostris,ziphius cavirostris
39324,notorynchus cepedianus,notorynchus cepedianus
39328,squatina californica,squatina californica
39339,alopias vulpinus,alopias vulpinus
39341,isurus oxyrinchus,isurus oxyrinchus
39342,lamna ditropis,lamna ditropis
39352,galeorhinus galeus,galeorhinus galeus
39381,prionace glauca,prionace glauca
39396,tetronarce californica,tetronarce californica
41666,zalophus californianus,zalophus californianus
41755,physeter macrocephalus,physeter macrocephalus
44183,beringraja binoculata,beringraja binoculata
44209,apristurus brunneus,apristurus brunneus
