species,exists,range_tot_km2,range_cst_km2
abyssobrotula galatheae,TRUE,52684,0
acanthephyra curtirostris,TRUE,195287,1188
acanthephyra eximia,TRUE,290736,18123
acanthephyra quadrispinosa,TRUE,144,0
acanthodoris pilosa,TRUE,55041,55041
acantholithodes hispidus,TRUE,59279,59279
acanthopsetta nadeshnyi,TRUE,13985,13985
acarnus erithacus,TRUE,39530,39530
achelia alaskensis,TRUE,59956,59956
achelia assimilis,TRUE,25712,25712
achelia borealis,TRUE,43490,43490
achelia latifrons,TRUE,3645,3645
achelia spinosa,TRUE,49624,49624
acipenser medirostris,TRUE,46878,46878
acipenser transmontanus,TRUE,30755,30755
acteocina culcitella,TRUE,58049,58049
adalaria proxima,TRUE,59742,59742
adelogorgia phyllosclera,TRUE,488,488
aeolidia papillosa,TRUE,59910,59910
aeropsis fulva,TRUE,17,17
aethia cristatella,TRUE,0,0
aethia psittacula,TRUE,301424,24
aethia pusilla,TRUE,0,0
aethia pygmaea,TRUE,0,0
aglaophamus malmgreni,TRUE,19247,19247
agonomalus mozinoi,TRUE,47263,47263
agonopsis vulsa,TRUE,59956,59956
albatrossia pectoralis,TRUE,10445,10445
aldrovandia affinis,TRUE,79674,116
aldrovandia phalacra,TRUE,41714,0
alectrias alectrolophus,TRUE,44718,44718
alepisaurus ferox,TRUE,406478,41222
alepocephalus tenebrosus,TRUE,8271,8271
alia carinata,TRUE,56465,56465
alitta succinea,TRUE,2450,2450
allocareproctus jordani,TRUE,1749,1749
allocareproctus unangas,TRUE,1460,1460
allocyttus folletti,TRUE,8579,8579
allosergestes pestafer,TRUE,79244,39307
allosmerus elongatus,TRUE,12357,12357
alopias vulpinus,TRUE,449035,81011
amblyraja badia,TRUE,430,430
amblyraja hyperborea,TRUE,13843,13843
ammodytes hexapterus,TRUE,132696,93776
ammodytes personatus,TRUE,52632,52632
ampelisca abdita,TRUE,59742,59742
ampelisca agassizi,TRUE,57403,57403
ampelisca brevisimulata,TRUE,59956,59956
ampelisca cristata,TRUE,591,591
ampelisca lobata,TRUE,58760,58760
